query,answer,top_chunk,top_score,similarity_score,f1_score,found_in_top_k,found_in_top_1,found_in_top_3,found_in_top_5
How can studying sewage help track antibiotic resistance around the world?,We propose metagenomic analysis of sewage as an ethically acceptable and economically feasible approach for continuous global surveillance and prediction of AMR,"""Antimicrobial Global monitoring of antimicrobial resistance based on metagenomics analyses of urban sewage https://doi.org/10.1038/s41467-019-08853-3 resistance (AMR) is a serious threat to global public health, but obtaining representative data on AMR for healthy human populations is difficult. Here, we use metagenomic analysis of untreated sewage to characterize the bacterial resistome from 79 sites in 60 countries. We find systematic differences in abundance and diversity of AMR genes between Europe/North-America/Oceania and Africa/Asia/South-America.",0.7251157164573669,0.03910614525139665,0.4819277108433735,True,False,False,False
What evidence supports the two-way traffic of AMR between farms and clinics?,Whole genome sequencing is revealing and beginning to quantify the two-way traffic of AMR bacteria between the farm and the clinic,"tant component of this complex system: they are exposed to enormous quantities of antibiotics (despite attempts at reduction) and act as another reservoir of resistance genes. Whole genome sequencing is revealing and beginning to quantify the two-way traffic of AMR bacteria between the farm and the clinic. Surveillance of bacterial disease, drug usage and resistance in livestock is still relatively poor, though improving, but achieving better antimicrobial stewardship on the farm is challenging: antibiotics are an integral part of industrial agriculture and there are very few alternatives.",0.5746313333511353,0.3581267217630854,0.39999999999999997,True,True,True,True
Can common flies really spread antibiotic-resistant bacteria?,"'Filth flies' feed and develop in excrement and decaying matter and can transmit enteric pathogens to humans and animals, leading to colonization and infection. Considering these characteristics, 'filth flies' are potential vectors for the spread of antimicrobial resistance (AMR).","microbial-resistant bacteria of clinical relevance. This includes extended spectrum beta-lactamase-, carbapenemase- producing and colistin-resistant (mcr-1 positive) bacteria. Resistant bacteria in flies often share the same genotypes with bacteria from humans and animals when their habitat overlap. The risk of transmission is most likely highest for enteric bacteria as they are shed in high concentration in excrements and are easily picked up by flies. ‘Filth flies’ can ‘bio-enhance’ the transmission of AMR as bacteria multiply in the digestive tract, mouthparts and regurgitation spots.",0.7181930541992188,0.5567010309278351,0.75,True,False,True,True
How can studying sewage help track antibiotic resistance around the world?,We propose metagenomic analysis of sewage as an ethically acceptable and economically feasible approach for continuous global surveillance and prediction of AMR,"""Antimicrobial Global monitoring of antimicrobial resistance based on metagenomics analyses of urban sewage https://doi.org/10.1038/s41467-019-08853-3 resistance (AMR) is a serious threat to global public health, but obtaining representative data on AMR for healthy human populations is difficult. Here, we use metagenomic analysis of untreated sewage to characterize the bacterial resistome from 79 sites in 60 countries. We find systematic differences in abundance and diversity of AMR genes between Europe/North-America/Oceania and Africa/Asia/South-America.",0.7251157164573669,0.03910614525139665,0.4819277108433735,True,False,False,False
How does a high-concentrate diet affect antimicrobial resistance genes in cattle?,Both the diversity and abundance of these genes were higher in concentrate-fed animals.,"sessed in ruminal digesta samples taken from 50 antibiotic-free beef cattle, comprising four cattle breeds receiving two diets containing different proportions of concentrate. Two hundred and four genes associated with antimicrobial resistance (AMR), colonisation, communication or pathogenicity functions were identified from 4966 metagenomic genes using KEGG identification. Both the diversity and abundance of these genes were higher in concentrate-fed animals.",0.7185468673706055,0.2914572864321608,0.41935483870967744,True,True,True,True
Why is 3D bioprinting of bacterial biofilms significant for studying AMR?,The potential to bioprint and study 3D bacterial biofilm constructs could have great clinical significance at a time when antimicrobial resistance is rising to dangerously high levels worldwide.,"ntial to bioprint and study 3D bacterial biofilm constructs could have great clinical significance at a time when antimicrobial resistance is rising to dangerously high levels worldwide. In this study, clinically relevant bacterial species including Escherichia coli, Staphylococcus aureus (MSSA), Methicillin-resistant Staphylococcus aureus (MRSA) and Pseudomonas aeruginosa were 3D bioprinted using a double-crosslinked alginate bioink to form mature bacteria biofilms, characterized by confocal laser scanning microscopy (CLSM) and fluorescent staining.",0.7525783777236938,0.496,0.5681818181818182,True,True,True,True
Are wild animals in cities spreading drug-resistant bacteria?,"Urban wildlife carry a high burden of clinically relevant antimicrobial-resistant E. coli in Nairobi, exhibiting resistance to drugs considered crucial for human medicine by WHO.",".InterpretationUrban wildlife carry a high burden of clinically relevant antimicrobial-resistant E coli in Nairobi, exhibiting resistance to drugs considered crucial for human medicine by WHO. Identifiable traits of the wildlife contribute to this exposure; however, compared with humans, livestock, and the environment, low phenotypic diversity in wildlife is consistent with the hypothesis that wildlife are a net sink rather than source of clinically relevant resistance.",0.6544010639190674,0.28858218318695106,0.5974025974025974,True,True,True,True
What approach is needed to understand AMR transmission between humans and livestock?,A better understanding of the human-livestock interface will aid in the development of evidence-based and effective One Health interventions that can ultimately reduce the burden of AMR in humans.," on Escherichia coli.We recapitulate the current understanding of the transmission of AMR between humans and livestock based on current genomic and epidemiological approaches. We discuss how the use of well-designed, high-resolution genome sequencing studies can improve our understanding of the human-livestock interface.A better understanding of the human-livestock interface will aid in the development of evidence-based and effective One Health interventions that can ultimately reduce the burden of AMR in humans."" Antimicrobial resistance research in a post-pandemic world: Insights on antimicrobial resistance",0.7806433439254761,0.4827586206896552,0.5822784810126582,True,True,True,True
What did the genomic analysis of global sewage samples reveal about resistance gene mobility?,"The genetic environments of 49 common ARGs are highly diverse, with most common ARGs carried by multiple distinct genomic contexts globally and sometimes on plasmids.","""Antimicrobial Global monitoring of antimicrobial resistance based on metagenomics analyses of urban sewage https://doi.org/10.1038/s41467-019-08853-3 resistance (AMR) is a serious threat to global public health, but obtaining representative data on AMR for healthy human populations is difficult. Here, we use metagenomic analysis of untreated sewage to characterize the bacterial resistome from 79 sites in 60 countries. We find systematic differences in abundance and diversity of AMR genes between Europe/North-America/Oceania and Africa/Asia/South-America.",0.670881986618042,0.4322916666666667,0.4893617021276596,True,False,True,True
Did COVID-19 affect how we monitor and research antibiotic resistance?,"Moreover, antimicrobial resistance (AMR) surveillance and AMS have been deprioritised with diversion of health system resources to the pandemic response."," healthcare systems in co-managing multiple infectious disease threats as resources for monitoring and detecting, and conducting research on antimicrobial resistance have been compromised during the pandemic. The increased awareness of the importance of infectious diseases, clinical microbiology and infection control and lessons learnt during the COVID-19 pandemic should be exploited to ensure that emergence of future infectious disease threats, including those related to AMR, are minimised.",0.6259333491325378,0.14135338345864662,0.27397260273972607,True,True,True,True
